chr	start	end	co_num	marker_den	te_prop
chr01	5117784	5167784	0	0	0
chr01	5167784	5217784	5	0	0.17208
chr01	5217784	5267784	0	0	0.17468
chr01	5267784	5317784	0	0	0.00648
chr01	5317784	5367784	0	0	0
chr01	5367784	5417784	0	0	0
chr01	5417784	5467784	0	0	0.06666
chr01	5467784	5517784	0	0	0.09498
chr01	5517784	5567784	0	0	0
chr01	5567784	5617784	0	0.1	0.01068
chr01	5617784	5667784	0	7.12	0
chr01	5667784	5717784	0	4.54	0
chr01	5717784	5767784	1	2.22	0.08906
chr01	5767784	5817784	0	0.06	0
chr01	5817784	5867784	0	2.56	0.09296
chr01	5867784	5917784	0	3.38	0.03396
chr01	5917784	5967784	0	0.04	0.10194
chr01	5967784	6017784	0	0.04	0
chr01	6017784	6067784	0	0.04	0.02504
chr01	6067784	6117784	0	0.06	0.15846
chr01	6117784	6167784	0	0.12	0.21892
chr01	6167784	6217784	0	0.06	0
chr01	6217784	6267784	2	0.04	0
chr01	6267784	6317784	0	0.04	0.04908
chr01	6317784	6367784	0	0.02	0.10654
chr01	6367784	6417784	0	0.06	0.01614
chr01	6417784	6467784	2	0	0
chr01	6467784	6517784	1	0.1	0.2758
chr01	6517784	6567784	0	0.02	0.15108
chr01	6567784	6617784	0	0.8	0
chr01	6617784	6667784	0	1.28	0.07764
chr01	6667784	6717784	0	7	0
chr01	6717784	6767784	0	3.52	0.43464
chr01	6767784	6817784	1	3.84	0
chr01	6817784	6867784	1	0.06	0
chr01	6867784	6917784	1	0.02	0
chr01	6917784	6967784	0	0.02	0.198
chr01	6967784	7017784	1	0.7	0
chr01	7017784	7067784	0	5.68	0
chr01	7067784	7117784	0	8.5	0.19852
chr01	7117784	7167784	0	4.52	0
chr01	7167784	7217784	0	0	0
chr01	7217784	7267784	1	0	0
chr01	7267784	7317784	0	0.02	0
chr01	7317784	7367784	0	0	0
chr01	7367784	7417784	1	0.06	0
chr01	7417784	7467784	0	0	0
chr01	7467784	7517784	0	0.1	0
chr01	7517784	7567784	1	2.8	0
chr01	7567784	7617784	0	5.96	0
chr01	7617784	7667784	0	4.34	0.19274
chr01	7667784	7717784	1	3.96	0.06842
chr01	7717784	7767784	0	5.64	0.10022
chr01	7767784	7817784	0	4.36	0.14294
chr01	7817784	7867784	3	2.78	0.20926
chr01	7867784	7917784	1	5.02	0
chr01	7917784	7967784	0	3.34	0.2939
chr01	7967784	8017784	0	5.68	0.16702
chr01	8017784	8067784	0	4.9	0
chr01	8067784	8117784	0	5.02	0.16472
chr01	8117784	8167784	0	7.14	0.113
chr01	8167784	8217784	0	8.18	0
chr01	8217784	8267784	0	4.02	0.25628
chr01	8267784	8317784	1	4.92	0
chr01	8317784	8367784	0	7.3	0
chr01	8367784	8417784	2	5.78	0
chr01	8417784	8467784	0	8.62	0.01032
chr01	8467784	8517784	0	4.68	0.16094
chr01	8517784	8567784	0	8.16	0.05952
chr01	8567784	8617784	2	7.54	0.05592
chr01	8617784	8667784	0	2.6	0.06192
chr01	8667784	8717784	0	10.12	0
chr01	8717784	8767784	0	5.48	0.01332
chr01	8767784	8817784	0	3.78	0.15458
chr01	8817784	8867784	0	3.96	0.26012
chr01	8867784	8917784	0	1.72	0.1231
chr01	8917784	8967784	0	0.06	0.15592
chr01	8967784	9017784	0	0.2	0.09818
chr01	9017784	9067784	0	0.08	0.09886
chr01	9067784	9117784	2	0.2	0.14058
chr01	9117784	9167784	1	0.14	0.10698
chr01	9167784	9217784	0	0.24	0.0422
chr01	9217784	9267784	0	0.18	0.03394
chr01	9267784	9317784	1	0.14	0
chr01	9317784	9367784	1	3.9	0.24478
chr01	9367784	9417784	1	2.24	0.09756
chr01	9417784	9467784	0	0.08	0.06
chr01	9467784	9517784	0	0.08	0.22028
chr01	9517784	9567784	3	0.06	0.18606
chr01	9567784	9617784	1	0.14	0.16144
chr01	9617784	9667784	2	0.04	0.14946
chr01	9667784	9717784	0	0.06	0
chr01	9717784	9767784	0	0.14	0
chr01	9767784	9817784	2	0.1	0
chr01	9817784	9867784	0	0.08	0.22254
chr01	9867784	9917784	3	0.14	0
chr01	9917784	9967784	3	0.02	0.03614
chr01	9967784	10017784	1	0.08	0.17086
chr01	10017784	10067784	1	0.04	0.25672
chr01	10067784	10117784	0	0.06	0.28014
chr01	10117784	10167784	1	0.04	0.039
chr01	10167784	10217784	1	0.04	0.15426
chr01	10217784	10267784	0	0.04	0.18972
chr01	10267784	10317784	0	0.04	0
chr01	10317784	10367784	0	0.1	0
chr01	10367784	10417784	0	0.06	0.4217
chr01	10417784	10467784	0	0.06	0.1653
chr01	10467784	10517784	0	0.1	0.25112
chr01	10517784	10567784	0	4.96	0.10052
chr01	10567784	10617784	1	2.84	0.0423
chr01	10617784	10667784	1	0.1	0
chr01	10667784	10717784	0	0.02	0
chr01	10717784	10767784	0	0.1	0.24594
chr01	10767784	10817784	0	0.1	0.27308
chr01	10817784	10867784	1	0.96	0.23948
chr01	10867784	10917784	0	4.22	0
chr01	10917784	10967784	0	2.72	0.1654
chr01	10967784	11017784	0	0.08	0.08872
chr01	11017784	11067784	1	0.78	0.0516
chr01	11067784	11117784	0	4.78	0.11864
chr01	11117784	11167784	0	6.98	0.34132
chr01	11167784	11217784	0	6.18	0.1275
chr01	11217784	11267784	0	6.7	0
chr01	11267784	11317784	0	4.64	0.3316
chr01	11317784	11367784	1	6.86	0.2078
chr01	11367784	11417784	0	6.34	0.17736
chr01	11417784	11467784	0	5.06	0.1266
chr01	11467784	11517784	0	0.08	0.21548
chr01	11517784	11567784	0	0.2	0.15848
chr01	11567784	11617784	1	0.96	0.0219
chr01	11617784	11667784	0	0.3	0
chr01	11667784	11717784	2	0.2	0
chr01	11717784	11767784	0	0.32	0.19278
chr01	11767784	11817784	0	0.12	0.03538
chr01	11817784	11867784	0	0.08	0.31434
chr01	11867784	11917784	0	0.1	0.1005
chr01	11917784	11967784	0	0.08	0.1197
chr01	11967784	12017784	0	0.06	0.13456
chr01	12017784	12067784	0	0.04	0.33236
chr01	12067784	12117784	0	3.44	0.06476
chr01	12117784	12167784	0	6.14	0.02104
chr01	12167784	12217784	0	7.02	0.10508
chr01	12217784	12267784	0	3.9	0.13466
chr01	12267784	12317784	0	8.78	0
chr01	12317784	12367784	1	6.78	0
chr01	12367784	12417784	0	5.76	0.3102
chr01	12417784	12467784	0	2.02	0.3102
chr01	12467784	12517784	0	2.78	0.27536
chr01	12517784	12567784	1	5.78	0.21106
chr01	12567784	12617784	0	9.88	0.18792
chr01	12617784	12667784	2	4.42	0
chr01	12667784	12717784	0	6.42	0.05658
chr01	12717784	12767784	0	5.1	0.02556
chr01	12767784	12817784	0	3.74	0.3182
chr01	12817784	12867784	0	3.22	0.27598
chr01	12867784	12917784	0	5.92	0.14086
chr01	12917784	12967784	0	3.12	0.2373
chr01	12967784	13017784	0	1.44	0.31358
chr01	13017784	13067784	0	0	0.33344
chr01	13067784	13117784	0	4.42	0.41066
chr01	13117784	13167784	0	6.34	0.2358
chr01	13167784	13217784	0	3.02	0.16624
chr01	13217784	13267784	0	4.64	0.15934
chr01	13267784	13317784	0	5.7	0.01916
chr01	13317784	13367784	0	7	0.01608
chr01	13367784	13417784	0	3.78	0.05212
chr01	13417784	13467784	0	1.32	0.2499
chr01	13467784	13517784	0	7.52	0.25602
chr01	13517784	13567784	0	6.04	0.10682
chr01	13567784	13617784	0	7.16	0.15854
chr01	13617784	13667784	0	6.46	0.3183
chr01	13667784	13717784	0	1.06	0.41432
chr01	13717784	13767784	0	4.38	0.30232
chr01	13767784	13817784	0	10.74	0
chr01	13817784	13867784	1	3.5	0.24242
chr01	13867784	13917784	0	5.66	0.21438
chr01	13917784	13967784	0	7.8	0.06232
chr01	13967784	14017784	0	7.48	0.19244
chr01	14017784	14067784	0	6.88	0.09844
chr01	14067784	14117784	1	9.36	0.04656
chr01	14117784	14167784	0	6.14	0.22072
chr01	14167784	14217784	0	4.22	0.14836
chr01	14217784	14267784	0	6.02	0.01872
chr01	14267784	14317784	0	10.28	0
chr01	14317784	14367784	0	10.52	0.0521
chr01	14367784	14417784	0	7.3	0.1309
chr01	14417784	14467784	1	8.72	0
chr01	14467784	14517784	0	4.82	0.18222
chr01	14517784	14567784	0	3.62	0.32408
chr01	14567784	14617784	1	4.52	0.27536
chr01	14617784	14667784	0	4.96	0.2445
chr01	14667784	14717784	0	5.24	0.26604
chr01	14717784	14767784	0	7.98	0.11124
chr01	14767784	14817784	0	4.76	0
chr01	14817784	14867784	2	4.58	0.19556
chr01	14867784	14917784	0	5.5	0.18756
chr01	14917784	14967784	0	9.82	0.03092
chr01	14967784	15017784	0	3.16	0.24934
chr01	15017784	15067784	0	2.22	0.43708
chr01	15067784	15117784	0	5.24	0.37374
chr01	15117784	15167784	0	5.42	0
chr01	15167784	15217784	0	10.66	0.19344
chr01	15217784	15267784	0	0.92	0.30682
chr01	15267784	15317784	1	3.36	0.22946
chr01	15317784	15367784	0	7.46	0.18988
chr01	15367784	15417784	0	4.3	0.24948
chr01	15417784	15467784	0	10.32	0.13582
chr01	15467784	15517784	0	9.42	0.05462
chr01	15517784	15567784	0	4.58	0.18998
chr01	15567784	15617784	0	2.16	0.18446
chr01	15617784	15667784	0	6.52	0.35672
chr01	15667784	15717784	0	8.04	0.2875
chr01	15717784	15767784	0	1.24	0.1236
chr01	15767784	15817784	0	5.06	0.35622
chr01	15817784	15867784	0	12.54	0.27252
chr01	15867784	15917784	0	3.56	0.70718
chr01	15917784	15967784	0	11.46	0.19908
chr01	15967784	16017784	0	6.12	0.1149
chr01	16017784	16067784	0	7.22	0.04694
chr01	16067784	16117784	0	5.22	0.28438
chr01	16117784	16167784	0	6.84	0.07804
chr01	16167784	16217784	0	5.8	0.3377
chr01	16217784	16267784	0	5.14	0.44302
chr01	16267784	16317784	0	5.18	0.25164
chr01	16317784	16367784	0	6.98	0.08586
chr01	16367784	16417784	0	6.76	0.233
chr01	16417784	16467784	0	7.68	0.32322
chr01	16467784	16517784	0	4.66	0.12832
chr01	16517784	16567784	0	6	0.45086
chr01	16567784	16617784	0	5	0.34956
chr01	16617784	16667784	0	3.82	0.43612
chr01	16667784	16717784	0	5.1	0.24428
chr01	16717784	16767784	0	3.02	0.18356
chr01	16767784	16817784	0	0	0
chr01	16817784	16867784	0	0.22	0.20388
chr01	16867784	16917784	0	0.04	0.25132
chr01	16917784	16967784	0	0.04	0.34828
chr01	16967784	17017784	0	4.74	0.29246
chr01	17017784	17067784	0	5.6	0.40836
chr01	17067784	17117784	0	5.48	0.25082
chr01	17117784	17167784	0	4.5	0.22
chr01	17167784	17217784	0	7.92	0.42062
chr01	17217784	17267784	0	6.46	0.11544
chr01	17267784	17317784	0	4.42	0.00552
chr01	17317784	17367784	0	5.6	0.26728
chr01	17367784	17417784	0	5.66	0.0943
chr01	17417784	17467784	0	5.56	0.11334
chr01	17467784	17517784	0	6.3	0.11638
chr01	17517784	17567784	0	5.68	0.36158
chr01	17567784	17617784	0	4.58	0.12466
chr01	17617784	17667784	0	4.54	0.3905
chr01	17667784	17717784	0	7.1	0.1297
chr01	17717784	17767784	0	7.72	0.07776
chr01	17767784	17817784	0	7.42	0.11094
chr01	17817784	17867784	0	9.82	0.33386
chr01	17867784	17917784	0	6.52	0.23628
chr01	17917784	17967784	0	4.44	0.05416
chr01	17967784	18017784	0	7.06	0
chr01	18017784	18067784	0	6.42	0.07554
chr01	18067784	18117784	0	6.06	0.01946
chr01	18117784	18167784	0	4.98	0.0673
chr01	18167784	18217784	0	5.14	0.08446
chr01	18217784	18267784	0	10.04	0.2154
chr01	18267784	18317784	0	3.28	0.587
chr01	18317784	18367784	0	6.98	0.42376
chr01	18367784	18417784	1	6.4	0.15204
chr01	18417784	18467784	1	4.44	0.29972
chr01	18467784	18517784	0	5.46	0.34188
chr01	18517784	18567784	1	1.58	0.15856
chr01	18567784	18617784	0	2.06	0.189
chr01	18617784	18667784	1	6.08	0
chr01	18667784	18717784	0	3.94	0.33484
chr01	18717784	18767784	0	5.86	0.20392
chr01	18767784	18817784	0	5.18	0.16806
chr01	18817784	18867784	0	6.32	0
chr01	18867784	18917784	0	4.28	0.39704
chr01	18917784	18967784	0	5.02	0.18666
chr01	18967784	19017784	0	6.72	0.10232
chr01	19017784	19067784	0	10.56	0.17758
chr01	19067784	19117784	0	6.38	0.1436
chr01	19117784	19167784	0	6.96	0.36114
chr01	19167784	19217784	0	5.6	0.1008
chr01	19217784	19267784	0	3	0.26476
chr01	19267784	19317784	0	3.9	0
chr01	19317784	19367784	0	6.06	0.03504
chr01	19367784	19417784	1	4.5	0.03812
chr01	19417784	19467784	0	5.28	0.32024
chr01	19467784	19517784	0	3.22	0.37696
chr01	19517784	19567784	0	1.22	0.31988
chr01	19567784	19617784	0	1.36	0.44094
chr01	19617784	19667784	0	1.2	0.47606
chr01	19667784	19717784	0	1.52	0.15264
chr01	19717784	19767784	0	0.02	0.29774
chr01	19767784	19817784	0	0.36	0.60308
chr01	19817784	19867784	0	0.08	0.32844
chr01	19867784	19917784	0	0.86	0.18856
chr01	19917784	19967784	0	3.26	0.38454
chr01	19967784	20017784	0	2.94	0.28878
chr01	20017784	20067784	0	10.96	0
chr01	20067784	20117784	0	5.88	0.40638
chr01	20117784	20167784	0	5.34	0.186
chr01	20167784	20217784	0	3.42	0.30292
chr01	20217784	20267784	0	12.68	0.23292
chr01	20267784	20317784	1	8.1	0.04746
chr01	20317784	20367784	0	6.86	0.03266
chr01	20367784	20417784	2	5.66	0.20676
chr01	20417784	20467784	1	4.76	0.16438
chr01	20467784	20517784	1	5.36	0.04114
chr01	20517784	20567784	0	5.44	0.51842
chr01	20567784	20617784	1	4.62	0.23476
chr01	20617784	20667784	0	9.36	0.0415
chr01	20667784	20717784	0	3.92	0.34468
chr01	20717784	20767784	0	4.12	0.07128
chr01	20767784	20817784	0	2.8	0.19458
chr01	20817784	20867784	0	0.04	0.2357
chr01	20867784	20917784	0	5.32	0.3061
chr01	20917784	20967784	0	1.88	0.0637
chr01	20967784	21017784	0	0.02	0.31584
chr01	21017784	21067784	0	0.02	0.20586
chr01	21067784	21117784	0	0	0.09274
chr01	21117784	21167784	0	0	0
chr01	21167784	21217784	0	0	0.30104
chr01	21217784	21267784	3	0	0.24526
chr01	21267784	21317784	0	0	0.08478
chr01	21317784	21367784	0	0	0.30144
chr01	21367784	21417784	0	0	0.1475
chr01	21417784	21467784	0	0	0.04466
chr01	21467784	21517784	0	0.08	0.24752
chr01	21517784	21567784	0	0	0.0506
chr01	21567784	21617784	2	0	0.2198
chr01	21617784	21667784	0	0	0.18754
chr01	21667784	21717784	0	0	0
chr01	21717784	21767784	0	0.04	0.159
chr01	21767784	21817784	0	0	0.13008
chr01	21817784	21867784	0	0	0.0175
chr01	21867784	21917784	0	0.04	0.0304
chr01	21917784	21967784	4	0.18	0.13104
chr01	21967784	22017784	0	0	0
chr01	22017784	22067784	0	0	0.26622
chr01	22067784	22117784	0	0	0
chr01	22117784	22167784	0	0	0.17912
chr01	22167784	22217784	5	0	0.0771
chr01	22217784	22267784	0	0	0.16596
chr01	22267784	22317784	0	0	0.35016
chr01	22317784	22367784	0	0	0.10676
chr01	22367784	22417784	0	0	0.2153
chr01	22417784	22467784	0	0	0
chr01	22467784	22517784	0	0.02	0.2326
chr01	22517784	22567784	0	0	0.06664
chr01	22567784	22617784	0	0.06	0.12544
chr01	22617784	22667784	1	0	0.02002
chr01	22667784	22717784	0	0.02	0.18648
chr01	22717784	22767784	0	6.34	0
chr01	22767784	22817784	0	3.92	0
chr01	22817784	22867784	0	2.12	0.05612
chr01	22867784	22917784	0	2.32	0
chr01	22917784	22967784	0	3.12	0
chr01	22967784	23017784	3	2.2	0
chr01	23017784	23067784	0	0.02	0.27074
chr01	23067784	23117784	1	3.96	0.14052
chr01	23117784	23167784	0	2.9	0.1989
chr01	23167784	23217784	0	4.34	0.38694
chr01	23217784	23267784	0	0.8	0.24854
chr01	23267784	23317784	2	0	0.25302
chr01	23317784	23367784	0	0.02	0.0599
chr01	23367784	23417784	0	0	0
chr01	23417784	23467784	1	0	0.03528
chr01	23467784	23517784	0	0.02	0.27096
chr01	23517784	23567784	0	0.02	0.17724
chr01	23567784	23617784	0	0	0.21556
chr01	23617784	23667784	4	0	0
chr01	23667784	23717784	0	0.02	0.0393
chr01	23717784	23767784	0	6.08	0
chr01	23767784	23817784	0	5	0.23486
chr01	23817784	23867784	0	6.14	0.10598
chr01	23867784	23917784	0	5.26	0
chr01	23917784	23967784	0	5.28	0
chr01	23967784	24017784	0	8.72	0.0286
chr01	24017784	24067784	0	2.08	0.10954
chr01	24067784	24117784	2	0.66	0
chr01	24117784	24167784	1	0.16	0
chr01	24167784	24217784	0	0.12	0.15606
chr01	24217784	24267784	1	0.08	0
chr01	24267784	24317784	1	0.06	0.14322
chr01	24317784	24367784	2	0.06	0
chr01	24367784	24417784	0	1.16	0
chr01	24417784	24467784	1	2.56	0.0956
chr01	24467784	24517784	1	1.46	0.11942
chr01	24517784	24567784	0	0.04	0
chr01	24567784	24617784	2	0.08	0.14032
chr01	24617784	24667784	0	0.04	0
chr01	24667784	24717784	0	0.06	0.14926
chr01	24717784	24767784	0	2.54	0.02688
chr01	24767784	24817784	0	2.18	0.10408
chr01	24817784	24867784	0	2.24	0
chr01	24867784	24917784	1	3.5	0
chr01	24917784	24967784	0	2.44	0
chr01	24967784	25017784	0	1.56	0
chr01	25017784	25067784	0	4.16	0
chr01	25067784	25117784	0	1.9	0.18138
chr01	25117784	25167784	0	0.86	0
chr01	25167784	25217784	0	2.9	0.3491
chr01	25217784	25267784	0	5.62	0.01056
chr01	25267784	25317784	1	2.1	0.1148
chr01	25317784	25367784	0	0	0.19688
chr01	25367784	25417784	0	0	0.03052
chr01	25417784	25467784	0	0.04	0
chr01	25467784	25517784	0	0	0.1246
chr01	25517784	25567784	0	0.02	0.29266
chr01	25567784	25617784	0	0	0.11504
chr01	25617784	25667784	0	0	0.44636
chr01	25667784	25717784	0	0	0.13348
chr01	25717784	25767784	0	0	0.17108
chr01	25767784	25817784	0	0	0.14426
chr01	25817784	25867784	0	0	0.01026
chr01	25867784	25917784	0	0.02	0.18786
chr01	25917784	25967784	1	0.02	0.12432
chr01	25967784	26017784	0	0	0.06904
chr01	26017784	26067784	1	0	0.51104
chr01	26067784	26117784	0	0	0.1246
chr01	26117784	26167784	0	0.02	0.1141
chr01	26167784	26217784	0	0	0.16424
chr01	26217784	26267784	0	0.02	0.0092
chr01	26267784	26317784	0	0	0.2456
chr01	26317784	26367784	1	0	0.14994
chr01	26367784	26417784	0	0	0
chr01	26417784	26467784	1	0.04	0
chr01	26467784	26517784	0	0.02	0.1666
chr01	26517784	26567784	2	0	0.15058
chr01	26567784	26617784	1	0.04	0.244
chr01	26617784	26667784	0	0.08	0.0146
chr01	26667784	26717784	0	0.1	0.17254
chr01	26717784	26767784	0	0.02	0.18586
chr01	26767784	26817784	1	0.06	0
chr01	26817784	26867784	3	0.08	0.3089
chr01	26867784	26917784	1	0.04	0.0168
chr01	26917784	26967784	0	0	0.30954
chr01	26967784	27017784	0	0	0.30602
chr01	27017784	27067784	0	0.08	0.2006
chr01	27067784	27117784	1	0.08	0
chr01	27117784	27167784	2	0.06	0.06306
chr01	27167784	27217784	0	0.1	0
chr01	27217784	27267784	0	0.1	0
chr01	27267784	27317784	0	0.08	0
chr01	27317784	27367784	0	2.56	0.1383
chr01	27367784	27417784	0	0.08	0.28202
chr01	27417784	27467784	0	0.02	0.39554
chr01	27467784	27517784	0	0.04	0
chr01	27517784	27567784	1	0	0.05112
chr01	27567784	27617784	1	0.04	0
chr01	27617784	27667784	0	0.08	0
chr01	27667784	27717784	0	0.06	0.02442
chr01	27717784	27767784	2	0.04	0
chr01	27767784	27817784	0	0.12	0.2407
chr01	27817784	27867784	0	0.08	0.04546
chr01	27867784	27917784	0	0.04	0.08446
chr01	27917784	27967784	0	0.02	0
chr01	27967784	28017784	1	0.06	0.02856
chr01	28017784	28067784	1	1.9	0
chr01	28067784	28117784	1	3.22	0
chr01	28117784	28167784	0	2.64	0
chr01	28167784	28217784	0	0	0
chr01	28217784	28267784	1	0.5	0.04496
chr01	28267784	28317784	0	0.24	0
chr01	28317784	28367784	0	0	0.08398
chr01	28367784	28417784	0	0.04	0
chr01	28417784	28467784	1	0.02	0.05578
chr01	28467784	28517784	0	0.02	0.0129
chr01	28517784	28567784	0	0.02	0.16488
chr01	28567784	28617784	0	0	0
chr01	28617784	28667784	0	0.02	0.06462
chr01	28667784	28717784	0	0	0.26716
chr01	28717784	28767784	0	0.02	0.11126
chr01	28767784	28817784	1	0	0.07254
chr01	28817784	28867784	0	0.02	0.21974
chr01	28867784	28917784	0	0	0.0877
chr01	28917784	28967784	0	0.02	0
chr01	28967784	29017784	0	0	0.09792
chr01	29017784	29067784	0	0	0.03842
chr01	29067784	29117784	0	0	0.2084
chr01	29117784	29167784	0	0	0
chr01	29167784	29217784	0	0	0.11432
chr01	29217784	29267784	0	0	0
chr01	29267784	29317784	0	0	0
chr01	29317784	29367784	0	0.02	0.17008
chr01	29367784	29417784	1	0.02	0.15766
chr01	29417784	29467784	1	0.04	0.1088
chr01	29467784	29517784	1	0.04	0
chr01	29517784	29567784	1	0.08	0.027
chr01	29567784	29617784	0	0.06	0
chr01	29617784	29667784	0	0.04	0
chr01	29667784	29717784	0	0	0.13438
chr01	29717784	29767784	0	0.04	0
chr01	29767784	29817784	0	0.06	0.19804
chr01	29817784	29867784	0	0.08	0.11158
chr01	29867784	29917784	0	0.02	0.08604
chr01	29917784	29967784	1	0.06	0
chr01	29967784	30017784	0	0	0
chr01	30017784	30067784	2	0	0
chr01	30067784	30117784	1	0.06	0
chr01	30117784	30167784	1	0.06	0
chr01	30167784	30217784	0	0.06	0
chr01	30217784	30267784	0	0	0
chr01	30267784	30317784	0	0.06	0.05272
chr01	30317784	30367784	1	0	0
chr01	30367784	30417784	0	0.06	0.04274
chr01	30417784	30467784	2	0.02	0.1633
chr01	30467784	30517784	1	0.12	0
chr01	30517784	30567784	0	0	0.05466
chr01	30567784	30617784	0	0.02	0
chr01	30617784	30667784	0	0.02	0.04692
chr01	30667784	30717784	0	0.04	0
chr01	30717784	30767784	0	0.08	0.05456
chr01	30767784	30817784	0	0.4	0
chr01	30817784	30867784	0	1.1	0.15588
chr01	30867784	30917784	0	3.34	0
chr01	30917784	30967784	0	1.38	0.02788
chr01	30967784	31017784	0	0.02	0.04392
chr01	31017784	31067784	0	0.1	0.13338
chr01	31067784	31117784	0	0.02	0
chr01	31117784	31167784	0	0.02	0.41916
chr01	31167784	31217784	0	0.04	0.21644
chr01	31217784	31267784	1	0.32	0.3095
chr01	31267784	31317784	0	0.08	0.00938
chr01	31317784	31367784	0	0.02	0
chr01	31367784	31417784	0	0.08	0
chr01	31417784	31467784	0	0.02	0.34966
chr01	31467784	31517784	0	0.06	0.27966
chr01	31517784	31567784	0	0.02	0.19876
chr01	31567784	31617784	0	0.48	0
chr01	31617784	31667784	0	2.18	0
chr01	31667784	31717784	0	2.46	0.16576
chr01	31717784	31767784	1	2.46	0
chr01	31767784	31817784	0	2.86	0
chr01	31817784	31867784	0	2.66	0
chr01	31867784	31917784	0	2.98	0.04184
chr01	31917784	31967784	0	1.5	0.1335
chr01	31967784	32017784	0	3.38	0
chr01	32017784	32067784	0	2.66	0.06202
chr01	32067784	32117784	1	2.34	0.04124
chr01	32117784	32167784	2	3.12	0.03758
chr01	32167784	32217784	0	1.62	0.17394
chr01	32217784	32267784	1	3.1	0
